text,label,cleaned_text
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2,excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved
i feel they are pretty safe on my blog img src http s,1,feel pretty safe blog img src http
i feel pretty eager to get it done as i have a fun plan for quilting it,1,feel pretty eager get done fun plan quilting
i am feeling horny so i ask her that lets go home,2,feeling horny ask let go home
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,5,feel stranger strange land raising son place father ancestral home
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1,feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day
i was still feeling strong,1,still feeling strong
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1,burst tear devastating release feeling thought seemed know rich also go space without dumping
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4,suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned
i clench to the corners of the bed to feel assured,1,clench corner bed feel assured
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3,also feel like selfish grateful life amazing thing
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,2,called god seen god book figured god right name feeling utterly affirmed accepted without question
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3,know perhaps girl office nice short hair perhaps feeling rebellious
i do not feel miserable at all because my family is not the type that celebrates eid,0,feel miserable family type celebrates eid
i might go get a car wash if i am feeling really generous my car needs it,1,might go get car wash feeling really generous car need
i still feel sleep deprived she is almost sleeping through the night giving us,0,still feel sleep deprived almost sleeping night giving u
i just feel really violent right now,3,feel really violent right
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,1,bloging sitting feeling content dog amp cat etc know lucky truth
i started feeling funny and then friday i woke up sick as a dog,5,started feeling funny friday woke sick dog
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0,feel need protect parent witch hunt repressed memory therapy
i feel disgusted to even be associated with this woman by my race and nationality,3,feel disgusted even associated woman race nationality
i laughed then bitterly again but i wasnt feeling bitter,3,laughed bitterly wasnt feeling bitter
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,0,know feeling thought wished could u u knew however much hated first experience would remember forever
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,1,feeling quite mellow wanted soft easy look wear beginning cold
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4,told maybe need time think ive feeling indecisive thing lately
i still feel it does the genre a disservice when stories are resolved artifically,1,still feel genre disservice story resolved artifically
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,1,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4,remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall
i could feel her whimper to the thought of being unloved and uncared for,0,could feel whimper thought unloved uncared
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,5,im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show
im sorry that there wasnt more humor in this post but im not feeling all that funny,5,im sorry wasnt humor post im feeling funny
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,1,feel ive got foot door fantastic world walking running trail fell mountain
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3,say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love
i feel strange coming back to work after my one day holiday,4,feel strange coming back work one day holiday
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,3,im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,3,could claim redeem genre leave feeling entirely frustrated point beating head wall either
i feel so sad and hopeless,0,feel sad hopeless
im getting the feeling that my classes are a little intimidated by the concept of a lit,4,im getting feeling class little intimidated concept lit
i still feel groggy but i have to get up to do the routine for my son,0,still feel groggy get routine son
i have a feeling my view isnt going to be very popular and thats fine,1,feeling view isnt going popular thats fine
i want to hold this feeling of shocked awe and wonder forever,5,want hold feeling shocked awe wonder forever
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4,heard rumour st year exam result fear might one failure
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,1,want feel valued appreciated know people love arent going anywhere even nature relationship change
i know there are days in which you feel distracted,3,know day feel distracted
i use it regularly with relaxing music and always feel invigorated afterward,1,use regularly relaxing music always feel invigorated afterward
im feeling distracted i tend to practice with my eyes shut as much as possible,3,im feeling distracted tend practice eye shut much possible
i feel like its perfect a w see youtube has its influences i even know trends,1,feel like perfect w see youtube influence even know trend
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,4,specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,4,also feel weird sleeping bed two slept
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,0,wish okay thinking earlier today here thing cooped amp restless made feel needy
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,1,ive lost weight could fit tiny skirt ive unable wear didnt feel confident
i hope to feel a bit more creative again soon and miss its presence in my life blog,1,hope feel bit creative soon miss presence life blog
i am no fan of the current president i am a conservative and it made me feel unwelcome,0,fan current president conservative made feel unwelcome
i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,5,enclose verse could weigh much thinking feeling curious hear odd couple
i begin to feel complacent with my life here,1,begin feel complacent life
i feel vulnerable and alone,4,feel vulnerable alone
i remember feeling inspired and thinking that it was a fine example of parenting,1,remember feeling inspired thinking fine example parenting
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,0,feel like always one getting punished stupid thing feel like chastised behaving
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,1,really feel life perfect right isnt much ask hope everything would stay
im there i simply feel contented,1,im simply feel contented
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,1,im saying cut everyone life feel important find comfort solitude meditation working project alone
i think im just being stupid feeling nervous,4,think im stupid feeling nervous
i feel honored by it,1,feel honored
i was feeling an act of god at work in my life and it was an amazing feeling,5,feeling act god work life amazing feeling
i feel im like a bird flying in the air in a very carefree manner,1,feel im like bird flying air carefree manner
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,3,revise reply mind make sure reply sound appropriate enough person receive reply feel offended
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,0,felt sad friend mine died felt something irrevocably gone away
i died would alex and matt feel regretful for not coming to visit,0,died would alex matt feel regretful coming visit
i feel that educating families and supporting and educationg mamas and papas is key,1,feel educating family supporting educationg mama papa key
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,3,im sure lost feel like everyone hostile toward hate feeling
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,0,feel like boring sewing make since easy nothing else say fabric usage
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,1,always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly
i feel like i talented young man i don t feel talented then i don t to work with,1,feel like talented young man feel talented work
i feel curious about all this things around,5,feel curious thing around
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,1,feel reason apart others life im help become something push succeed successful happy
i feel now so uncomfortable with all of them i guess is me,4,feel uncomfortable guess
i feel pretty mellow so far about whatever healing wounding process may be getting underway,1,feel pretty mellow far whatever healing wounding process may getting underway
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,4,wonder sometimes whether added antagonism misunderstanding many people towards u feel reluctant wholeheartedly support traditional armistice day remembrance
i legs would feel shitty for a few miles but would come around like they always do,0,leg would feel shitty mile would come around like always
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,4,know unfair reaction run way explain feel shaken best come right
i seriously feel so blessed for the support that i have at home it s amazing,2,seriously feel blessed support home amazing
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,0,feel abused maligned mostly tired nervous feeling anticipating danger
i am feeling pretty restless right now while typing this,4,feeling pretty restless right typing
i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,2,know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lapping water wood piling relaxing breeze coming water
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,0,admit hilarious e card seriously exactly feel stressed feel moment could start hy
i wrote last year when i was feeling more dull and inarticulate than normal,0,wrote last year feeling dull inarticulate normal
id kick myself into gear but i just feel irritable with no motivation what so ever,3,id kick gear feel irritable motivation ever
i feel as a child innocent feelings illustrating a,1,feel child innocent feeling illustrating
i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,2,satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger
i will start to feel resentful,3,start feel resentful
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,0,spend vacation obligation headache feeling like emotional blackmailed three place
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,5,feel herpes coming would surprised point make checkup clinic wednesday
i feel so fucked like everyday of my life,3,feel fucked like everyday life
ive worked really hard all year to try to make each child in the class feel like they are valued,1,ive worked really hard year try make child class feel like valued
i am feeling disheartened with my words as of late,0,feeling disheartened word late
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,3,feel like bitchy time upon retrospect think trying shake
i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,1,still second guess still terrible time making definitive decision certain truth know feel assured truth
i don t feel like eggs benedict i ll have something equally delicious,1,feel like egg benedict something equally delicious
im feeling my way through and trusting myself,1,im feeling way trusting
im feeling inspired by all the summery elements of my favorite past time beach bummin,1,im feeling inspired summery element favorite past time beach bummin
i can feel that she smiled i love you even more gorgeous,1,feel smiled love even gorgeous
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,0,continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,1,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely
i can t say i feel all that sympathetic,2,say feel sympathetic
i was feeling over eager and hopped on to the tube to ride the eye of london,1,feeling eager hopped tube ride eye london
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,0,go online see friend talking another one talking feel ignored feel unloved
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,3,monitoring say anything ever come across blog feel offended please dont stop
i feel like that s so weird that i had cancer that one time,5,feel like weird cancer one time
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,1,want feel safe well maybe maybe there small chance feel joy dream come true
im feeling cranky,3,im feeling cranky
i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,1,also think puzzling particular administrator singled praise ability get student read feel ssr time productive use class time
i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,2,tried fill befriending people knew using didnt care needed feel accepted even complete loser
i feel stressed always,0,feel stressed always
i remember feeling another cramp but i also ignored it,0,remember feeling another cramp also ignored
i hope i feel mellow well fed well slept at peace with myself within this external world,1,hope feel mellow well fed well slept peace within external world
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,0,also learned take lot effort positive thinking break tear feeling exhausted guilty better mom
im feeling awful because we hung out with my friend and her new baby the day before,0,im feeling awful hung friend new baby day
i feel very relaxed and fine,1,feel relaxed fine
i feel the suffering and i really feel the pain,0,feel suffering really feel pain
i go to sleep i feel as if i m giving up precious time to do something else with my life,1,go sleep feel giving precious time something else life
i feel like i ve been neglecting my beloved mom blog,1,feel like neglecting beloved mom blog
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,1,shalt say co din feel thing wrote hw keen xxx
i just feel terrified like im on the edge of a precipice staring ahead,4,feel terrified like im edge precipice staring ahead
i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,0,feel totally listless exam come gone whole five month front uni free time
