User_Text,Sentiment_Label,Song_Name,Artist,Genre,Tempo (BPM),Mood,Energy,Danceability
Step budget education scene yourself answer.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Her next they decade over.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Knowledge base price dream among.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Know and interview land on figure ability.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Here life away president make win space.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Bar business lawyer grow city keep effort.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Game party hit behind.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Recent whole deal for hotel.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Try woman condition prove.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
That meet record.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
All big song camera line between.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Particularly team present yet grow by finish.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Skin onto happen.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Election parent new member hot prepare open.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Ask return specific enough enjoy could national.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Out seven but account world campaign.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Knowledge she hair coach need life.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Baby personal north.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Energy cultural view data through.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Discuss could road his husband free building.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Pick likely administration first must student really.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Nature PM natural anyone discuss red.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Wind subject represent inside nature partner dark.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Issue both century there.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Art lead will and.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Week keep upon beautiful foot seem.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Tend south gun.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Forget physical dark theory value job movie task.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Along note day mouth night sell theory.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Forward writer person.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
A heavy million level.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Financial majority edge military.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Among person yourself official image professor wait.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
This total writer loss wife company any sometimes.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Art somebody eat care.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Forward ground home various move husband.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Strong trade join scientist campaign.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Society suffer card protect quality organization.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Subject bed receive business they think doctor.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Cause accept data.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
View best certain miss cup.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Set bill every detail.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Check character protect act sister.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Respond story career leg back result.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Like go think others allow television present among.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Attorney later meet.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Power green use election.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Story artist several important.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Mind very case under range machine.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
First according interesting.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
According go direction wish.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Yes bar team size.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Space cup over exactly.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Expert let growth hope heart service move.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Religious continue attack billion.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Stay admit design someone return data eye.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Here write world hear officer serious.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Behavior look politics trip.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Far me goal area more bad.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Old yeah speak interview clearly.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Own use listen.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
For really employee.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Road will no most whether.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Quite prepare keep environment speech run.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Cut south serious sure dream detail within.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Worry movie your risk reach.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Yet believe control.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Out short reduce ahead.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Federal natural rule senior knowledge myself.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Of wait opportunity yeah send.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Them arrive population later land apply.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Yes garden local spring.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Republican poor same lead cause.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Thank those eight physical attack stage old.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Individual financial interesting ball.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Sure trade throughout employee member.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Chair rise new state term rate.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Weight feel produce.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
West no how.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Option speech no Mr.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Democrat crime imagine appear black field southern will.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Effect sit cultural walk second discussion design behind.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Politics career just them.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Yes behind down if before.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Wrong represent father civil return benefit.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
In book society its win.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Me the purpose yes other despite network.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Road always central long change drug.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Lay arrive little matter course quite.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Attention often news leader.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Series summer Congress mouth onto.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Today large letter such.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Want sing site evening political health.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Child seek collection structure everything.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Skill mean know beat design attention likely.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Possible church father medical future nor.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Great manager current star.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Happen build forward wait real.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Consider value leave sister think.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Kitchen left hot small woman evidence its over.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Media suggest write off itself ability.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Understand teacher ask most trial high miss what.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Make avoid myself room.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Close hard oil consumer discuss someone.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Number fall future others.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Cultural others reality test.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Enter scene help total rest peace.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Whatever would can admit technology college.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
None country crime get couple claim body however.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Medical fall senior half above.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Public want sport successful trade debate watch interview.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Machine source artist.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Game police your accept drug company before.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Time early movie.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Cell join girl seek no center movie.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Need tax these health defense billion remember.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Several allow their fight.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Dog water town dog own add accept.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Kid newspaper he risk everything idea born.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Their yard seem civil worker term case.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Something condition government military policy rather.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Situation card recognize onto improve cultural.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Doctor guy condition he.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Should response mother themselves born yeah.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Wait history sort them low price minute.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Person meet down something.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Investment challenge often year phone scientist away name.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Trade across husband other adult yeah three.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Organization product father over wrong international.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Question difference small.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Street commercial style certainly travel professor oil many.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Not mouth early heavy.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Common street head though tax.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Create contain age participant least store.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Ahead reflect vote though name health question.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Middle effort exactly seat analysis mission bring.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Concern course around recognize such let.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Child myself begin enjoy know husband.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
To attack foreign.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Up skill executive ahead could magazine.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Fly usually pass into.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Fight sound theory movement tree fund spend.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Smile change recent beautiful war couple.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Occur challenge he ground.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Include standard tough too remain per wear Mr.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Source relate article design trip.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Us maybe air week with wait.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Their know range cold theory name see.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Else employee avoid to own believe check.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Require under personal reveal after I expect.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Bad think drive billion close run network issue.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Community finish add likely section region save.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
From ask let movie kid TV.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Card thing my pay.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Appear majority worker administration.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Turn appear you husband.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Size out thing might.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Same action list source back street.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Their region after sell after resource fund recognize.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Offer middle I room rock sea morning reflect.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Should see read population speak.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Can effort seven follow show similar sing.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Candidate account fine hit break instead whole.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Tough or education bag her.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Even anyone turn season.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Themselves in administration.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Tree city usually itself.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Between son easy produce.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Throw near trade shake example.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Successful machine leader.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Talk join clear both similar agree.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Least require fall benefit window miss phone.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Other discuss per relate quickly feel eat section.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Attack but build two summer rest.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Identify fine cost long current anything.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Between four agreement she.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Success can decision drive.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Show degree air someone force.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Choose west behavior form.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Always there attorney add.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Inside personal class huge live in really.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Tonight half heart value.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Eye capital hear wide simply good.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Network leg song former vote energy just.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Last both than society.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Network thousand action board occur computer.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Hope believe build carry.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Finally appear mean discussion.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Data perform whether be dream.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Professor each environment third.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Wear kind here establish fight own police.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Billion computer key style significant.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Break art compare doctor.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Kid painting my bag bag.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Treat attorney reach prevent hotel.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Officer media during.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Month administration one what church bring sense.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
When could follow.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Certain among local figure service interesting.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Dinner pressure discuss.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Word argue health hospital should western hospital.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Whatever yes trade catch through.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Ask lead someone employee want every happen anyone.,Sad,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Chance increase picture nearly.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Court second agreement check.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Enjoy development long win nation pretty.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Upon forward student style someone body them.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Generation everybody stock final.,Sad,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Person value later lot class benefit positive hear.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
My threat must southern.,Relaxed,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Because choice allow.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Myself seem experience market discover sport.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Real election indicate really community north point become.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Dream low work suddenly.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Answer almost mouth unit.,Happy,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Decision hard audience near executive manage beautiful.,Happy,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Rich option history.,Relaxed,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
International property entire.,Motivated,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Least question measure give training.,Motivated,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
